title,date,time,venue,url,description,rating,duration
LA MUERTE CAMINA EN LA LLUVIA,18/10,17:00,Lumiton,https://lumiton.ar/evento/la-muerte-camina-en-la-lluvia/,"En una casona conviven una serie de personajes que comparten un secreto. Fuera de la casa, un asesino suelto que…",7.1,
FUERA DE LA LEY,29/10,15:00,Lumiton,https://lumiton.ar/evento/fuera-de-la-ley-5/,"El comisario Robles (Luis Arata) tiene un hijo psicópata recluido en un reformatorio, que al regresar al hogar reincide en…",4.8,
LA NOCHE DE LOS MUSEOS,8/11,19:30,Lumiton,https://lumiton.ar/evento/la-noche-de-los-museos-4/,Cronograma de actividades19.30 h Apertura20:00 h Visita guiada21:00 h obra teatral “Sonoras y parlantes”22:00 h Visita guiada23:00 h Música en…,,
"NOVIO, MARIDO Y AMANTE",15/11,17:00,Lumiton,https://lumiton.ar/evento/novio-marido-y-amante-2-2/,"Narra la historia de Rosalía, una joven que se une en matrimonio por capricho, sin consumarlo, a un hombre mucho…",5.7,
EL FABRICANTE DE ESTRELLAS,26/11,15:00,Lumiton,https://lumiton.ar/evento/el-fabricante-de-estrellas-2/,"Luego de haber sido despedido por una vedette, un representante de artistas conoce a un  jugador de fútbol que canta…",6.2,
LA VUELTA DE ROCHA,13/12,18:00,Lumiton,https://lumiton.ar/evento/la-vuelta-de-rocha-2/,Musical tanguero con todos los ingredientes del género. Un oficial de marina se compadece de una cancionista provinciana que trata…,,
LA VIDA ES UN TANGO,17/12,18:00,Lumiton,https://lumiton.ar/evento/la-vida-es-un-tango-2/,"Una joven y un muchacho, hijos de artistas que buscan triunfar con el tango viven un  romance, con sus rupturas…",,
UN HOMBRE SOLO NO VALE NADA,24/1,18:00,Lumiton,https://lumiton.ar/evento/un-hombre-solo-no-vale-nada-2/,"Enrique Serrano interpreta a un empleado, Modesto Fauno, que ha cometido un error en una factura de la empresa en…",,
30 SEGUNDOS DE AMOR,7/2,18:00,Lumiton,https://lumiton.ar/evento/30-segundos-de-amor/,"Graciela (Mirtha Legrand) sale enojada luego de su lección de manejo, debido a una discusión familiar, toma el auto y…",,
NO SON 30 PESOS,19/2,19:00,Lumiton,https://lumiton.ar/evento/no-son-30-pesos/,Un grupo de jóvenes actores intenta recrear algunas de las escenas fundamentales que cuentan la trayectoria del Frente Patriótico Manuel…,,
MI NOVIA ES UN FANTASMA,21/2,18:00,Lumiton,https://lumiton.ar/evento/mi-novia-es-un-fantasma-4/,"La historia comienza en el Grand Palace Hotel, donde Juanita trabaja como mucama asistiendo a una niña rica llamada Gabriela.…",,
INMIGRANTES EN VICENTE LÓPEZ,26/2,19:00,Lumiton,https://lumiton.ar/evento/inmigrantes-en-vicente-lopez/,Inmigrantes en Vicente López es un corto documental que testimonia aquellas personas oriundas de diferentes países de Europa que se…,,
"CARLOS GESELL, MI PADRE",26/2,19:00,Lumiton,https://lumiton.ar/evento/carlos-gesell-mi-padre/,"Rosemarie Gesell fue la última hija en vida de Carlos Gesell, pionero fundador del épico pueblo balneario Argentino de Villa…",,
MORIR EN SU LEY,7/3,18:00,Lumiton,https://lumiton.ar/evento/morir-en-su-ley/,Un policía se hace pasar por delincuente para enamorar a la mujer de un prófugo y conseguir así que ella…,,
FILOMENA MARTURANO,19/3,18:00,Lumiton,https://lumiton.ar/evento/filomena-marturano-4-2/,Tita Merello interpreta a una mujer que simula estar moribunda para casarse con el hombre que ha sido su amante…,,
NO SON 30 PESOS,5/3,19:00,Lumiton,https://lumiton.ar/evento/no-son-30-pesos/,Un grupo de jóvenes actores intenta recrear algunas de las escenas fundamentales que cuentan la trayectoria del Frente Patriótico Manuel…,,
REACTIVAR LA MIRADA: EL ROL DE LA MUJER EN EL ARCHIVO PUBLICITARIO,26/3,19:00,Lumiton,https://lumiton.ar/evento/reactivar-la-mirada-el-rol-de-la-mujer-en-el-archivo-publicitario/,"Durante marzo, el Archivo Lumiton abre un espacio para volver a acercarse a su acervo desde otra perspectiva. La propuesta…",,
NOCHE DE BODAS,11/4,18:00,Lumiton,https://lumiton.ar/evento/noche-de-bodas/,"Por razones que se develarán al final, una novia regresa misteriosamente a su hogar paterno en la noche de bodas.…",,
UN BEBÉ DE PARÍS,23/4,18:00,Lumiton,https://lumiton.ar/evento/un-beb-de-paris/,"Raquel desea fervientemente ser madre pero no puede tener hijos. Finge estar embarazada para retener a su esposo, de quien…",,
“ALFRED HITCHCOCK PRESENTS”: EL MAESTRO DEL SUSPENSO EN LA TV,30/4,19:00,Lumiton,https://lumiton.ar/evento/alfred-hitchcock-presents-el-maestro-del-suspenso-en-la-tv/,Lumiclub nos invita a explorar otra faceta del “Maestro del suspenso” en una jornada de proyección y debate dedicada a…,,
16 AÑOS,9/5,18:00,Lumiton,https://lumiton.ar/evento/16-anos-4/,"Nos cuenta la historia de una adolescente, a punto de cumplir 16 años, que tiene una relación muy cercana con…",,
LA NOVIA DE PRIMAVERA,21/5,18:00,Lumiton,https://lumiton.ar/evento/la-novia-de-primavera/,Para impresionar a sus amigos una joven se inventa un amor con un escritor famoso que la acompaña en la…,,
EL LADO MUTANTE DE LA FUERZA,28/5,19:00,Lumiton,https://lumiton.ar/evento/el-lado-mutante-de-la-fuerza/,"En mayo, Lumiclub celebra el 4 de mayo —el “May the Fourth”— explorando el universo Star Wars desde sus bordes…",,
